Event,Time,NVFI_0_cpu,NVFI_0_ram,NVFI_0_vnfs,NVFI_1_cpu,NVFI_1_ram,NVFI_1_vnfs,NVFI_2_cpu,NVFI_2_ram,NVFI_2_vnfs,NVFI_3_cpu,NVFI_3_ram,NVFI_3_vnfs,NVFI_4_cpu,NVFI_4_ram,NVFI_4_vnfs,NVFI_5_cpu,NVFI_5_ram,NVFI_5_vnfs,NVFI_6_cpu,NVFI_6_ram,NVFI_6_vnfs,NVFI_7_cpu,NVFI_7_ram,NVFI_7_vnfs,NVFI_8_cpu,NVFI_8_ram,NVFI_8_vnfs,NVFI_9_cpu,NVFI_9_ram,NVFI_9_vnfs,NVFI_10_cpu,NVFI_10_ram,NVFI_10_vnfs,NVFI_11_cpu,NVFI_11_ram,NVFI_11_vnfs,NVFI_12_cpu,NVFI_12_ram,NVFI_12_vnfs,NVFI_13_cpu,NVFI_13_ram,NVFI_13_vnfs,NVFI_14_cpu,NVFI_14_ram,NVFI_14_vnfs,NVFI_15_cpu,NVFI_15_ram,NVFI_15_vnfs,NVFI_16_cpu,NVFI_16_ram,NVFI_16_vnfs,NVFI_17_cpu,NVFI_17_ram,NVFI_17_vnfs,NVFI_18_cpu,NVFI_18_ram,NVFI_18_vnfs,NVFI_19_cpu,NVFI_19_ram,NVFI_19_vnfs,NVFI_20_cpu,NVFI_20_ram,NVFI_20_vnfs,NVFI_21_cpu,NVFI_21_ram,NVFI_21_vnfs,NVFI_22_cpu,NVFI_22_ram,NVFI_22_vnfs,NVFI_23_cpu,NVFI_23_ram,NVFI_23_vnfs,NVFI_24_cpu,NVFI_24_ram,NVFI_24_vnfs,NVFI_25_cpu,NVFI_25_ram,NVFI_25_vnfs,NVFI_26_cpu,NVFI_26_ram,NVFI_26_vnfs,NVFI_27_cpu,NVFI_27_ram,NVFI_27_vnfs,NVFI_28_cpu,NVFI_28_ram,NVFI_28_vnfs,NVFI_29_cpu,NVFI_29_ram,NVFI_29_vnfs,NVFI_30_cpu,NVFI_30_ram,NVFI_30_vnfs,NVFI_31_cpu,NVFI_31_ram,NVFI_31_vnfs,NVFI_32_cpu,NVFI_32_ram,NVFI_32_vnfs,NVFI_33_cpu,NVFI_33_ram,NVFI_33_vnfs,NVFI_34_cpu,NVFI_34_ram,NVFI_34_vnfs,NVFI_35_cpu,NVFI_35_ram,NVFI_35_vnfs,NVFI_36_cpu,NVFI_36_ram,NVFI_36_vnfs,NVFI_37_cpu,NVFI_37_ram,NVFI_37_vnfs,NVFI_38_cpu,NVFI_38_ram,NVFI_38_vnfs,NVFI_39_cpu,NVFI_39_ram,NVFI_39_vnfs,NVFI_40_cpu,NVFI_40_ram,NVFI_40_vnfs,NVFI_41_cpu,NVFI_41_ram,NVFI_41_vnfs,NVFI_42_cpu,NVFI_42_ram,NVFI_42_vnfs,NVFI_43_cpu,NVFI_43_ram,NVFI_43_vnfs,NVFI_44_cpu,NVFI_44_ram,NVFI_44_vnfs,NVFI_45_cpu,NVFI_45_ram,NVFI_45_vnfs,NVFI_46_cpu,NVFI_46_ram,NVFI_46_vnfs,NVFI_47_cpu,NVFI_47_ram,NVFI_47_vnfs
I,0.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
+,4.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
+,4.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
+,8.0,315,500000,[],251,500000,[],383,499998,['f2v5'],421,499989,"['f2v3', 'f2v4']",458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],385,499991,['f2v0'],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],481,499999,['f2v1'],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],165,499997,['f2v2'],116,500000,[]
t,10.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
+,12.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
+,13.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
-,13.966407448674474,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
+,15.0,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
-,17.4928108707196,315,500000,[],251,500000,[],392,500000,[],434,500000,[],458,500000,[],283,500000,[],498,500000,[],289,500000,[],495,500000,[],338,500000,[],293,500000,[],431,500000,[],168,500000,[],181,500000,[],497,500000,[],150,500000,[],356,500000,[],396,500000,[],398,500000,[],329,500000,[],396,500000,[],459,500000,[],387,500000,[],310,500000,[],467,500000,[],277,500000,[],381,500000,[],481,500000,[],375,500000,[],453,500000,[],437,500000,[],161,500000,[],461,500000,[],389,500000,[],106,500000,[],485,500000,[],375,500000,[],128,500000,[],165,500000,[],400,500000,[],453,500000,[],123,500000,[],327,500000,[],350,500000,[],428,500000,[],239,500000,[],173,500000,[],116,500000,[]
